campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,tag
v8_review3_D_cost5bp,D,42,nivel2,50000,0.22006041546635988,0.011148112965372893,0.29583615992702683,0.04401208309327198,0.9,0.19523809523809524,0.4388888888888889,4.0,1.5775284121027364,-1.0,0.3825724664661893,0.17718743277046667,50000,2026-08-04T01:46:39Z,94.21619549999014,D_cost5bp
v8_review3_D_cost5bp,D,123,nivel2,50000,0.43389556309583754,0.01923184462071101,0.35932887040957695,0.0867791126191676,0.8333333333333334,0.173015873015873,0.4579365079365079,1.0,1.3441443632242256,20.0,0.4268358667789593,0.2826214707063519,50000,2026-08-04T01:48:22Z,102.06879879999906,D_cost5bp
v8_review3_D_cost5bp,D,456,nivel2,50000,1.0385864025513254,0.053046726405227736,0.22376805439328262,0.20771728051026508,0.9,0.18968253968253967,0.4587301587301587,11.0,1.3384057939725205,20.0,0.3884130522764322,0.2126763290179515,50000,2026-08-04T01:49:57Z,95.15660829999251,D_cost5bp
v8_review3_D_cost5bp,D,789,nivel2,50000,0.08816469717486364,0.004604845488269809,0.34592609562836785,0.0176329394349727,0.8333333333333334,0.18968253968253967,0.45476190476190476,12.0,1.364180318907731,20.0,0.3414587220998756,0.17774321450826822,50000,2026-08-04T01:51:29Z,91.11631280003348,D_cost5bp
v8_review3_D_cost5bp,D,1024,nivel2,50000,0.03899186861351528,0.0019377135427963894,0.5427794701736212,0.007798373722703003,0.8666666666666667,0.19285714285714287,0.4515873015873016,11.0,1.4046013494768728,17.0,0.36451687834217117,0.1768022858368621,50000,2026-08-04T01:53:04Z,94.88120259996504,D_cost5bp
v8_review3_D_cost5bp,D,7,nivel2,50000,0.927346001597231,0.049399046038029464,0.37341754632470076,0.18546920031944616,0.8666666666666667,0.19126984126984126,0.4380952380952381,15.0,2.210819285172629,21.0,0.33033588313822326,0.1901355581090052,50000,2026-08-04T01:54:43Z,98.99669870000798,D_cost5bp
v8_review3_D_cost5bp,D,99,nivel2,50000,0.70481090807157,0.036546821790268,0.3491999700234884,0.140962181614314,0.8666666666666667,0.18174603174603174,0.45396825396825397,5.0,1.19665595273199,20.0,0.3837008182725149,0.19263685316019175,50000,2026-08-04T01:56:37Z,113.73212760000024,D_cost5bp
v8_review3_D_cost5bp,D,314,nivel2,50000,0.40965698668228284,0.019134984017910302,0.6132573618208721,0.08193139733645668,0.8666666666666667,0.1873015873015873,0.4515873015873016,10.0,1.4130515095386063,-1.0,0.39391014599356716,0.16366682596183124,50000,2026-08-04T01:58:04Z,86.81613780005137,D_cost5bp
v8_review3_D_cost5bp,D,1729,nivel2,50000,0.3794253805149703,0.019190222858854047,0.47269659721828095,0.07588507610299404,0.8333333333333334,0.17063492063492064,0.43253968253968256,1.0,1.3045704777127072,15.0,0.39385325116969805,0.253959224878412,50000,2026-08-04T01:59:35Z,90.8122911999817,D_cost5bp
v8_review3_D_cost5bp,D,65535,nivel2,50000,0.3594890265652049,0.017278906710059622,0.46346418512600585,0.07189780531304094,0.8666666666666667,0.1865079365079365,0.44682539682539685,10.0,1.434184602759261,22.0,0.399788306346356,0.2422258562261084,50000,2026-08-04T02:01:09Z,92.93574579997221,D_cost5bp
