campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,rotation_p
rotation_p0.75_v7,S_p0.75,123,nivel2,50000,1.392943101167363,0.07609128855423018,0.20741219595170293,0.2785886202334727,1.0,0.19523809523809524,0.44682539682539685,18.0,1.037079285693864,17.0,0.12541479974770703,0.08320465500233981,50000,2026-06-10T04:15:04Z,75.5746909999998,0.75
rotation_p1.00_v7,S_p1.00,123,nivel2,50000,1.7867409817995035,0.10199296225484977,0.2189023978279626,0.35734819635990067,0.9666666666666667,0.18888888888888888,0.4753968253968254,4.0,1.077291190503029,18.0,0.15531436766434176,0.09659613518097933,50000,2026-06-10T04:16:17Z,72.04503310000109,1.0
rotation_p0.00_v7,S_p0.00,456,nivel2,50000,0.1912295866196423,0.009788220992461561,0.6666666454469955,0.03824591732392841,1.0,0.18968253968253967,0.4523809523809524,1.0,1.070918333357801,-1.0,0.19434944648397728,0.09806750601779088,50000,2026-06-10T04:17:30Z,73.16356839999935,0.0
rotation_p0.10_v7,S_p0.10,456,nivel2,50000,0.48521813796723173,0.02327312324193397,0.46813142325154367,0.09704362759344642,0.9666666666666667,0.16984126984126985,0.46111111111111114,2.0,1.0040952380785755,15.0,0.14857931102374033,0.09508266172999687,50000,2026-06-10T04:18:44Z,73.23222279999936,0.1
rotation_p0.25_v7,S_p0.25,456,nivel2,50000,0.59987196508543,0.03012382129713905,0.574097123748741,0.11997439301708597,1.0,0.18888888888888888,0.45714285714285713,1.0,1.056773650760165,13.0,0.21109910138082894,0.08161846213190532,50000,2026-06-10T04:19:57Z,73.56216499999937,0.25
rotation_p0.50_v7,S_p0.50,456,nivel2,50000,1.1588963192295703,0.06340211965761738,0.2632433156744785,0.2317792638459141,0.9666666666666667,0.17777777777777778,0.44761904761904764,25.0,1.044625634926527,8.0,0.08983261572917646,0.12177180766132331,50000,2026-06-10T04:21:11Z,73.1445764,0.5
rotation_p0.75_v7,S_p0.75,456,nivel2,50000,0.7025140177191038,0.03738056828279309,0.5885269143137142,0.14050280354382094,1.0,0.176984126984127,0.4634920634920635,14.0,0.996151190425042,-1.0,0.05300904690918665,0.10577161482377549,50000,2026-06-10T04:22:24Z,72.78683810000075,0.75
rotation_p1.00_v7,S_p1.00,456,nivel2,50000,0.5365763061201271,0.025835793273241744,0.40504521020065976,0.10731526122402546,1.0,0.20634920634920634,0.4642857142857143,8.0,1.073113015892944,12.0,0.12331486483160516,0.11440003922331131,50000,2026-06-10T04:23:37Z,72.49442699999963,1.0
rotation_p0.00_v7,S_p0.00,789,nivel2,50000,1.0386354740933788,0.05585987811758856,0.3790750194451611,0.2077270948186757,0.9666666666666667,0.16984126984126985,0.4119047619047619,3.0,1.0384679365531142,8.0,0.14163664160167205,0.0889143392153501,50000,2026-06-10T04:24:48Z,70.7823413999995,0.0
rotation_p0.10_v7,S_p0.10,789,nivel2,50000,0.8368636117416319,0.045536222548788335,0.18652264659703058,0.16737272234832642,1.0,0.15396825396825398,0.4238095238095238,18.0,0.9972581745906999,-1.0,0.12173203095127211,0.0793063634187598,50000,2026-06-10T04:25:59Z,70.76105739999912,0.1
