campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,variant,variant_M,variant_k,variant_beta,variant_m
scan_s1_beta,D,123,nivel2,5000,-27.125412020840443,-1.0183397417164841,27.114748263367332,-5.425082404168085,0.8333333333333334,0.15476190476190477,0.38492063492063494,5.0,1.0987565077176975,-1.0,-6.4372247619483876,-6.599936757211938,5000,2026-05-12T04:15:15Z,10.38699529999576,s1_beta,8,3,0.5,3
scan_s1_beta,D,456,nivel2,5000,-28.93153371650894,-1.07359632935084,28.919634710375174,-5.7863067433017825,0.7666666666666667,0.1492063492063492,0.3817460317460317,9.0,1.0972830157640154,-1.0,-6.286768564129615,-6.305311400713776,5000,2026-05-12T04:15:25Z,9.872188300010748,s1_beta,8,3,0.5,3
scan_s3_M16_beta,C,42,nivel2,5000,-27.11899224164215,-1.1122201648215368,27.10279793281368,-5.423798448328425,0.9666666666666667,0.173015873015873,0.5801587301587302,1.0,0.8922352380948955,-1.0,-5.710184561842138,-6.150370656008991,5000,2026-05-12T04:15:33Z,8.062178899999708,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,C,123,nivel2,5000,-28.004130867835062,-1.131339547676505,27.983897953586677,-5.600826173567007,0.9666666666666667,0.18174603174603174,0.5722222222222222,6.0,0.9137370636005745,-1.0,-6.707109515569002,-7.051140452167265,5000,2026-05-12T04:15:41Z,7.953187499995693,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,C,456,nivel2,5000,-28.268218495818488,-1.2659683663132344,28.256319489684735,-5.653643699163691,0.9666666666666667,0.15317460317460319,0.5603174603174603,26.0,0.849717143067946,-1.0,-6.6087467612198,-6.631072398093711,5000,2026-05-12T04:15:49Z,8.095359300001292,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,D,42,nivel2,5000,-26.909650417679508,-1.0888268943472628,26.90438107948908,-5.381930083535899,0.6333333333333333,0.16111111111111112,0.6142857142857143,6.0,2.6021981743854536,-1.0,-6.115688789593602,-6.608262385519713,5000,2026-05-12T04:16:13Z,23.254688700006227,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,D,123,nivel2,5000,-28.674821354637476,-1.071854033185884,28.669385108002782,-5.7349642709274935,0.6666666666666666,0.19523809523809524,0.6246031746031746,4.0,2.145448888768442,-1.0,-7.285415351417356,-7.315401427989247,5000,2026-05-12T04:16:32Z,19.545910100001493,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,D,456,nivel2,5000,-29.784784439425806,-1.171169386819308,29.77288543329202,-5.956956887885157,0.6333333333333333,0.16507936507936508,0.6238095238095238,6.0,2.3571240477885733,-1.0,-7.0471608871537885,-6.994721918624528,5000,2026-05-12T04:16:52Z,19.291730600001756,s3_M16_beta,16,3,0.5,5
scan_s6_full,C,42,nivel2,5000,-27.01681106644111,-1.1527467934291267,27.000616757612686,-5.403362213288217,0.9,0.15555555555555556,0.5984126984126984,1.0,0.9855504762122614,-1.0,-5.623837047265816,-6.084561610166598,5000,2026-05-12T04:17:02Z,9.594997200008947,s6_full,16,5,0.5,5
scan_s6_full,C,123,nivel2,5000,-26.994806937662013,-1.1306704828855056,26.974574023413638,-5.398961387532398,0.9333333333333333,0.16507936507936508,0.5920634920634921,6.0,0.983978651054222,-1.0,-6.5653690931167725,-6.883693561702742,5000,2026-05-12T04:17:11Z,9.79114760000084,s6_full,16,5,0.5,5
scan_s6_full,C,456,nivel2,5000,-26.802829312797336,-1.2520411261015563,26.790930306663554,-5.360565862559461,0.9,0.14444444444444443,0.5801587301587302,8.0,0.9787164285496276,-1.0,-6.413356802556459,-6.520875511370289,5000,2026-05-12T04:17:22Z,10.039380700007314,s6_full,16,5,0.5,5
scan_s6_full,D,42,nivel2,5000,-29.51712688614506,-1.1260305598190279,29.511857547954598,-5.903425377229008,0.8,0.15714285714285714,0.5563492063492064,16.0,3.236422301415587,-1.0,-6.244085108620807,-6.765791502560571,5000,2026-05-12T04:17:46Z,24.337636899988865,s6_full,16,5,0.5,5
scan_s6_full,D,123,nivel2,5000,-30.503980471761828,-1.1129701666188307,30.48374755751347,-6.100796094352363,0.8333333333333334,0.16984126984126985,0.573015873015873,4.0,2.8404019842532255,-1.0,-7.453846826281467,-7.55454910033668,5000,2026-05-12T04:18:10Z,23.280973799992353,s6_full,16,5,0.5,5
scan_s6_full,D,456,nivel2,5000,-32.06788787983662,-1.259016906100545,32.049405929468016,-6.413577575967321,0.7666666666666667,0.15555555555555556,0.5793650793650794,40.0,2.692722222393116,-1.0,-7.27290779127647,-7.238284431430464,5000,2026-05-12T04:18:33Z,23.6106662999955,s6_full,16,5,0.5,5
