campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,p_star
v8_exp4,S_star,11,nivel2,50000,0.11029503007201891,0.005670914127887097,0.4688539502902981,0.02205900601440384,0.9666666666666667,0.17063492063492064,0.44841269841269843,10.0,0.7425012698048603,6.0,0.283069506924781,0.12849390894095658,50000,2026-07-21T01:11:35Z,53.28878540000005,0.2618520503737743
v8_exp4,S_star,13,nivel2,50000,1.6608349661580273,0.09733631253877553,0.16760703978728372,0.3321669932316055,1.0,0.1984126984126984,0.45476190476190476,1.0,0.7475031746108716,4.0,0.08701158618189722,0.12951334052245275,50000,2026-07-21T01:12:27Z,52.08988370000043,0.2618520503737743
v8_exp4,S_star,17,nivel2,50000,0.5980499262884191,0.0341518451383664,0.380215610311168,0.11960998525768382,1.0,0.15873015873015872,0.430952380952381,18.0,0.7334382539955273,5.0,0.149235297410693,0.12212222284286632,50000,2026-07-21T01:13:20Z,52.69942529999935,0.2618520503737743
v8_exp4,S_star,19,nivel2,50000,0.2806240726908553,0.013698209586246507,0.3488112698032802,0.056124814538171044,1.0,0.176984126984127,0.44603174603174606,4.0,0.6826524603234753,-1.0,0.10410085143497186,0.0901564264099048,50000,2026-07-21T01:14:12Z,52.215195500000846,0.2618520503737743
v8_exp4,S_star,23,nivel2,50000,0.9967141469388248,0.0567293702193055,0.3217446674428429,0.19934282938776499,0.9666666666666667,0.17063492063492064,0.4388888888888889,1.0,0.9336250793889381,10.0,-0.02714297309989032,0.050684131642887334,50000,2026-07-21T01:15:17Z,64.55406289999883,0.2618520503737743
v8_exp4,S_star,29,nivel2,50000,0.3791496998486975,0.019526985755160892,0.32838101741852643,0.0758299399697395,1.0,0.17222222222222222,0.4738095238095238,6.0,0.7064865079377746,8.0,0.04447239038422659,0.068447656937828,50000,2026-07-21T01:16:02Z,44.780022400000234,0.2618520503737743
v8_exp4,S_star,31,nivel2,50000,-0.0464330203981511,-0.00229617690570367,0.4946574586421413,-0.00928660407963022,1.0,0.173015873015873,0.4452380952380952,1.0,0.7212206349163713,15.0,0.1623790607061322,0.10035277382916753,50000,2026-07-21T01:16:53Z,50.785291100000904,0.2618520503737743
v8_exp4,S_star,37,nivel2,50000,0.4299275517878142,0.020809556008095566,0.5435325783397725,0.08598551035756287,0.9666666666666667,0.18015873015873016,0.44761904761904764,6.0,0.940094047611984,5.0,-0.04608904708475052,0.09158255651437602,50000,2026-07-21T01:17:56Z,62.46566849999908,0.2618520503737743
v8_exp4,S_star,41,nivel2,50000,0.6844831604763051,0.0342941907209921,0.430358080483342,0.136896632095261,1.0,0.1761904761904762,0.4666666666666667,7.0,0.9607546031937033,7.0,0.1944892310243438,0.10419924992178185,50000,2026-07-21T01:19:02Z,65.88703180000084,0.2618520503737743
v8_exp4,S_star,43,nivel2,50000,1.0212228535379544,0.051891771015506884,0.36172867785955437,0.20424457070759078,1.0,0.17539682539682538,0.4531746031746032,7.0,0.9803176190582726,3.0,0.21203766720688833,0.10040840276333583,50000,2026-07-21T01:20:09Z,66.26363970000057,0.2618520503737743
v8_exp4,S_star,47,nivel2,50000,0.3397168188902489,0.017979009604155088,0.3769470542477596,0.06794336377804976,1.0,0.17777777777777778,0.4492063492063492,13.0,0.904964761863835,3.0,0.12189329187716959,0.1046384384410263,50000,2026-07-21T01:21:15Z,65.70018060000075,0.2618520503737743
v8_exp4,S_star,53,nivel2,50000,0.8201975525439773,0.04424976419476134,0.37519944984306036,0.16403951050879542,1.0,0.18253968253968253,0.45476190476190476,6.0,0.9355574603403742,3.0,0.06177752739199692,0.089903010098643,50000,2026-07-21T01:22:20Z,65.46812250000039,0.2618520503737743
v8_exp4,S_star,59,nivel2,50000,1.046959081743665,0.05393416437850661,0.3017677795662281,0.209391816348733,1.0,0.18968253968253967,0.4666666666666667,10.0,0.9221049206701984,-1.0,0.14770974600632508,0.07094016413127173,50000,2026-07-21T01:23:25Z,64.49686170000132,0.2618520503737743
v8_exp4,S_star,61,nivel2,50000,0.15346178676056743,0.007830424648840388,0.4903079771693398,0.03069235735211351,1.0,0.18412698412698414,0.4365079365079365,16.0,0.6979803968028541,-1.0,0.2538011767907154,0.07075957370876844,50000,2026-07-21T01:24:23Z,58.1739493999994,0.2618520503737743
v8_exp4,S_star,67,nivel2,50000,1.3318931937201302,0.07363908956077554,0.1586196517038979,0.266378638744026,1.0,0.16428571428571428,0.4238095238095238,11.0,0.6895647618919265,7.0,0.07358315610083231,0.07157261227299781,50000,2026-07-21T01:25:14Z,50.206809299999804,0.2618520503737743
v8_exp4,S_star,71,nivel2,50000,-0.14670425541197346,-0.007826640411147327,0.5580813259048474,-0.029340851082394637,1.0,0.1865079365079365,0.44682539682539685,15.0,0.5182933333647574,16.0,0.04639381242113974,0.07466993547337429,50000,2026-07-21T01:26:04Z,49.942516799999794,0.2618520503737743
v8_exp4,S_star,73,nivel2,50000,1.103562535599953,0.06098751196217521,0.2501795871255337,0.2207125071199907,1.0,0.176984126984127,0.4261904761904762,1.0,0.5153726190583834,-1.0,0.20884069141907252,0.07228921691415818,50000,2026-07-21T01:26:42Z,37.495717499999955,0.2618520503737743
v8_exp4,S_star,79,nivel2,50000,1.1711883918352792,0.06283035252250961,0.24432840151394308,0.23423767836705583,0.9333333333333333,0.19365079365079366,0.44047619047619047,5.0,0.527628174603749,-1.0,0.04764494645182857,0.12408496639547893,50000,2026-07-21T01:27:19Z,37.32915420000063,0.2618520503737743
v8_exp4,S_star,83,nivel2,50000,0.5185128580695185,0.02885629200274815,0.3662101701419983,0.10370257161390377,1.0,0.17142857142857143,0.4444444444444444,10.0,0.524532460320419,4.0,-0.03461001911769529,0.10366427989969351,50000,2026-07-21T01:27:57Z,37.137232799999765,0.2618520503737743
v8_exp4,S_star,89,nivel2,50000,1.044925631251725,0.05780984179190248,0.4007002974593037,0.20898512625034496,1.0,0.19603174603174603,0.4642857142857143,18.0,0.5528244444417757,1.0,0.17643552359512044,0.06274157402834807,50000,2026-07-21T01:28:34Z,37.39567570000145,0.2618520503737743
v8_exp4,S_star,97,nivel2,50000,0.37481872573470737,0.01857871443641152,0.6865140664547422,0.07496374514694154,0.9666666666666667,0.1738095238095238,0.45396825396825397,5.0,0.9853741270143517,2.0,-0.03213444733718089,0.08465331847539245,50000,2026-07-21T01:29:23Z,49.1822190999992,0.2618520503737743
v8_exp4,S_star,101,nivel2,50000,0.7561127049047475,0.0402268528602901,0.3679992486697754,0.15122254098094942,1.0,0.19444444444444445,0.44761904761904764,2.0,0.9460882539834918,22.0,0.21580993420423258,0.09177285120614448,50000,2026-07-21T01:30:31Z,66.97443379999822,0.2618520503737743
v8_exp4,S_star,103,nivel2,50000,0.035987407730606324,0.0019799089980085103,0.6559713572106993,0.007197481546121254,1.0,0.16428571428571428,0.45476190476190476,4.0,0.9468530952564458,-1.0,0.05529394591788894,0.11619231465734998,50000,2026-07-21T01:31:38Z,66.84678840000015,0.2618520503737743
v8_exp4,S_star,107,nivel2,50000,0.6916936476607111,0.03793782184165249,0.5249236442424525,0.13833872953214216,1.0,0.17063492063492064,0.42857142857142855,6.0,0.6952804761365567,11.0,0.11052456197485884,0.09864611385762773,50000,2026-07-21T01:32:39Z,61.26993229999971,0.2618520503737743
v8_exp4,S_star,109,nivel2,50000,-0.1749163002357625,-0.008721816312114161,0.4487716185058698,-0.03498326004715251,1.0,0.16031746031746033,0.4396825396825397,15.0,0.6911671428771649,-1.0,0.14204931451927366,0.06654297375661902,50000,2026-07-21T01:33:30Z,50.26050410000062,0.2618520503737743
v8_exp4,S_star,113,nivel2,50000,0.2802714366849695,0.013853321457400855,0.8812377254457785,0.05605428733699398,1.0,0.17539682539682538,0.4595238095238095,20.0,0.7108513492081358,8.0,-4.558408303351538e-05,0.09109504734811853,50000,2026-07-21T01:34:20Z,50.343052700000044,0.2618520503737743
v8_exp4,S_star,127,nivel2,50000,1.0627942143349831,0.05830872065008749,0.3300786988747674,0.2125588428669966,1.0,0.18412698412698414,0.46746031746031746,3.0,0.6821860317402406,-1.0,0.16443886245048436,0.08546525706465528,50000,2026-07-21T01:35:11Z,50.71064520000073,0.2618520503737743
v8_exp4,S_star,131,nivel2,50000,1.9259360405215575,0.10616989594597154,0.21372506767669175,0.38518720810431145,1.0,0.1880952380952381,0.44761904761904764,6.0,0.6618531745949613,18.0,0.20411283612530773,0.09679116215045781,50000,2026-07-21T01:36:03Z,51.66395960000045,0.2618520503737743
v8_exp4,S_star,137,nivel2,50000,0.3665363279827847,0.019277858719129952,0.36198800428398437,0.07330726559655694,1.0,0.173015873015873,0.43253968253968256,3.0,0.6802550793595618,12.0,0.1372290785653832,0.09795627344290311,50000,2026-07-21T01:36:50Z,47.02862280000045,0.2618520503737743
v8_exp4,S_star,139,nivel2,50000,0.1481021837266693,0.007859247671777586,0.37482434555983934,0.029620436745333878,1.0,0.1626984126984127,0.45,12.0,0.6649113492044091,4.0,0.071011589289705,0.12976967817855864,50000,2026-07-21T01:37:38Z,47.12767829999939,0.2618520503737743
