campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,tau
v8_exp7_momentum_refresh,momentum_refresh,789,nivel2,50000,0.49571524078790413,0.023724059786681174,0.24902326111731005,0.09914304815758082,0.9666666666666667,0.17063492063492064,0.40634920634920635,2.0,0.7170384126885394,22.0,0.25945871578796786,0.0863829216606584,50000,2026-07-20T21:47:53Z,54.0964328,1.0
v8_exp7_thompson,thompson,789,nivel2,50000,-0.3467138627578805,-0.015979466671729708,0.7375042621768862,-0.06934277255157607,0.9666666666666667,0.17936507936507937,0.476984126984127,2.0,0.7185461111078887,-1.0,0.25759896479780764,0.10054645856562662,50000,2026-07-20T21:48:48Z,54.89841669999987,1.0
v8_exp7_softmax,softmax,1024,nivel2,50000,0.720540832038707,0.03630497051590929,0.315553882411662,0.14410816640774146,0.9666666666666667,0.18412698412698414,0.45,10.0,0.7295024603258248,17.0,0.2562638728475892,0.10173732068232731,50000,2026-07-20T21:49:43Z,54.8412559999997,0.5
v8_exp7_momentum_refresh,momentum_refresh,1024,nivel2,50000,0.6301088593022219,0.03117997680131607,0.24321400242216495,0.12602177186044433,0.9666666666666667,0.17142857142857143,0.41825396825396827,1.0,0.7109553174536308,21.0,0.33293299382917085,0.10814818282277323,50000,2026-07-20T21:50:38Z,54.4112283999998,1.0
v8_exp7_thompson,thompson,1024,nivel2,50000,0.7269417893602244,0.03278525263641785,0.3656954852301312,0.1453883578720448,0.9666666666666667,0.1976190476190476,0.4793650793650794,9.0,0.7150752380994163,15.0,0.27653511862041624,0.1375940296830747,50000,2026-07-20T21:51:33Z,54.93256849999989,1.0
v8_exp7_softmax,softmax,7,nivel2,50000,0.7144254168335091,0.03835788369217417,0.30246460431708466,0.1428850833667019,1.0,0.1880952380952381,0.46746031746031746,1.0,0.7467171428606167,-1.0,0.11299737975779335,0.12458660452119773,50000,2026-07-20T21:52:30Z,57.21218550000003,0.5
v8_exp7_momentum_refresh,momentum_refresh,7,nivel2,50000,0.3784650461191209,0.018944625163101733,0.39745232920615314,0.07569300922382419,1.0,0.17063492063492064,0.4150793650793651,20.0,0.722657777780677,-1.0,0.23335129658210274,0.040279948105885616,50000,2026-07-20T21:53:25Z,54.94608419999986,1.0
v8_exp7_thompson,thompson,7,nivel2,50000,0.43036063198458424,0.020558422502109923,0.6178074819795651,0.08607212639691679,0.9333333333333333,0.19682539682539682,0.4714285714285714,1.0,0.7157765079328884,22.0,0.2260949127430749,0.1300450815868228,50000,2026-07-20T21:54:20Z,54.344576499999675,1.0
v8_exp7_softmax,softmax,99,nivel2,50000,1.3348991221108388,0.07226270820878616,0.24298178950429383,0.26697982442216767,1.0,0.1873015873015873,0.4603174603174603,5.0,0.8531199999951573,-1.0,0.2160640696705463,0.10137105412520443,50000,2026-07-20T21:55:22Z,62.188162000000375,0.5
v8_exp7_momentum_refresh,momentum_refresh,99,nivel2,50000,1.2334147588571613,0.05712857251984157,0.19998399743760986,0.2466829517714324,1.0,0.16507936507936508,0.4087301587301587,5.0,0.8858918253952739,17.0,0.20288029142918387,0.08867933676819396,50000,2026-07-20T21:56:27Z,64.61501799999996,1.0
v8_exp7_thompson,thompson,99,nivel2,50000,0.37488784973782563,0.017200182169403926,0.4014411266916763,0.07497756994756513,0.9333333333333333,0.18015873015873016,0.46904761904761905,9.0,0.8799004761923488,19.0,0.26077640440219957,0.17707525757352596,50000,2026-07-20T21:57:34Z,66.88147209999988,1.0
v8_exp7_softmax,softmax,314,nivel2,50000,1.0865104532266245,0.057589371965959986,0.23254681819783402,0.21730209064532496,1.0,0.18333333333333332,0.4595238095238095,7.0,0.7876652381030779,4.0,0.13884901922825235,0.0985892998310587,50000,2026-07-20T21:58:42Z,67.56562750000012,0.5
v8_exp7_momentum_refresh,momentum_refresh,314,nivel2,50000,1.3213027670965851,0.06327227451297908,0.2836159917083677,0.264260553419317,1.0,0.16111111111111112,0.4023809523809524,1.0,0.9502612698421823,22.0,0.3300448541269954,0.09349277888218702,50000,2026-07-20T21:59:53Z,70.7120329000004,1.0
v8_exp7_thompson,thompson,314,nivel2,50000,0.5753211200800699,0.026539861146062476,0.3618136065694603,0.11506422401601388,0.9666666666666667,0.16587301587301587,0.46190476190476193,7.0,0.949733253969498,19.0,0.2400355471590247,0.12161432601890955,50000,2026-07-20T22:01:04Z,70.31893279999986,1.0
v8_exp7_softmax,softmax,1729,nivel2,50000,0.7118905046178021,0.03792792138853915,0.27245402773147726,0.14237810092356043,0.9666666666666667,0.16666666666666666,0.4579365079365079,17.0,0.9542361904730945,14.0,0.2101450965721357,0.14009885162082333,50000,2026-07-20T22:02:14Z,70.11564799999996,0.5
v8_exp7_momentum_refresh,momentum_refresh,1729,nivel2,50000,0.22272331898524556,0.011105308360232583,0.37815362985750556,0.04454466379704923,1.0,0.17063492063492064,0.41904761904761906,6.0,0.9293925396868583,19.0,0.25338428091526055,0.10311158233027663,50000,2026-07-20T22:03:22Z,67.64012280000043,1.0
v8_exp7_thompson,thompson,1729,nivel2,50000,0.07896272431103817,0.0038132457495935286,0.4428651374601783,0.015792544862207648,0.9333333333333333,0.16746031746031745,0.4603174603174603,1.0,0.8084192063430843,-1.0,0.2804006879693736,0.17789444086618098,50000,2026-07-20T22:04:30Z,67.47839139999996,1.0
v8_exp7_softmax,softmax,65535,nivel2,50000,-0.018929080844792,-0.0009906051511376563,0.9254696946746792,-0.0037858161689583447,1.0,0.18492063492063493,0.44761904761904764,8.0,0.7942130952523301,4.0,0.08256094723404084,0.10955741639986157,50000,2026-07-20T22:05:31Z,61.00955270000031,0.5
v8_exp7_momentum_refresh,momentum_refresh,65535,nivel2,50000,0.7322107542999554,0.0358151384960521,0.3404894193621347,0.14644215085999115,1.0,0.17063492063492064,0.4174603174603175,7.0,0.7668458730208046,17.0,0.3534292104587592,0.08889560787411044,50000,2026-07-20T22:06:31Z,59.228728500000216,1.0
v8_exp7_thompson,thompson,65535,nivel2,50000,0.5296024408449687,0.026728295332105318,0.32854716534218553,0.10592048816899373,0.9333333333333333,0.1873015873015873,0.45714285714285713,9.0,0.7858941269880291,-1.0,0.2525963900171133,0.1379372148546969,50000,2026-07-20T22:07:32Z,60.59969759999967,1.0
