selector,seed,precision_at_m,ndcg_at_m,candidate_hit,rotation_realized,n_steps
S0.0,65535,0.16216931216931216,nan,0.39920634920634923,0.22039840637450236,1260
S0.25,42,0.17989417989417986,nan,0.4396825396825397,0.44892430278884515,1260
S0.25,123,0.1791005291005291,nan,0.44126984126984126,0.4466135458167337,1260
S0.25,456,0.18703703703703703,nan,0.45714285714285713,0.44932270916334704,1260
S0.25,789,0.173015873015873,nan,0.44285714285714284,0.4421513944223113,1260
S0.25,1024,0.18544973544973545,nan,0.46111111111111114,0.44382470119521966,1260
S0.25,7,0.18015873015873016,nan,0.4380952380952381,0.4524302788844623,1260
S0.25,99,0.17804232804232803,nan,0.43333333333333335,0.44517928286852665,1260
S0.25,314,0.19528351881293057,nan,0.4753577106518283,0.4395051875498806,1258
S0.25,1729,0.17380952380952377,nan,0.43174603174603177,0.45187250996015965,1260
S0.25,65535,0.173015873015873,nan,0.43174603174603177,0.4345019920318733,1260
S0.5,42,0.18439153439153436,nan,0.4595238095238095,0.6059760956175277,1260
S0.5,123,0.18915343915343913,nan,0.46984126984126984,0.6082071713147378,1260
S0.5,456,0.1804232804232804,nan,0.44761904761904764,0.5964940239043804,1260
S0.5,789,0.17857142857142855,nan,0.4523809523809524,0.5969721115537824,1260
S0.5,1024,0.18465608465608466,nan,0.45555555555555555,0.608685258964141,1260
S0.5,7,0.1783068783068783,nan,0.4452380952380952,0.6173705179282839,1260
S0.5,99,0.17354497354497353,nan,0.44603174603174606,0.6054183266932238,1260
S0.5,314,0.17355590885002647,nan,0.4395866454689984,0.611971268954506,1258
S0.5,1729,0.18915343915343913,nan,0.46984126984126984,0.6062151394422283,1260
S0.5,65535,0.17804232804232803,nan,0.4365079365079365,0.6064541832669293,1260
S1.0,42,0.17989417989417988,nan,0.44047619047619047,0.8060557768924217,1260
S1.0,123,0.19365079365079366,nan,0.4753968253968254,0.7935458167330599,1260
S1.0,456,0.1931216931216931,nan,0.4642857142857143,0.8027888446215055,1260
S1.0,789,0.18677248677248676,nan,0.4634920634920635,0.8074900398406288,1260
S1.0,1024,0.18386243386243384,nan,0.45555555555555555,0.8041434262948126,1260
S1.0,7,0.18439153439153438,nan,0.4492063492063492,0.8023107569721029,1260
S1.0,99,0.18148148148148144,nan,0.46111111111111114,0.8157768924302706,1260
S1.0,314,0.18044515103338632,nan,0.44992050874403816,0.7953711093375813,1258
S1.0,1729,0.18253968253968253,nan,0.4531746031746032,0.807250996015928,1260
S1.0,65535,0.18095238095238095,nan,0.44126984126984126,0.7963346613545733,1260
